name,category,count,first_mentioned_in,example_note
residents,other,46,January 20.pdf,"Resident passed away, Rewriting Resident Council bylaws, Behavioral Health Program | discussed resident councilmembers receiving stipends | Affordable Behavioral Advisory (Dwight Riley attended the Resident Council meeting)"
report,plumbing_fixtures,45,January 20.pdf,Approved the financial report
coordinator,services,23,April 21.pdf,Hiring a coordinator for elderly/disabled services.
regrant,services,22,September 20.pdf,Apply for ROSS Grant
units,other,20,April 20.pdf,Funding: HUD requiring a letter from the IRS with the tax ID # being utilized for the various units.
building,services,17,March 20.pdf,Visitors frequenting the building | The building is being cleaned 3 times a week by 2 different companies
elevator,big_equipment,16,May 20.pdf,- Elevator
repositioning,services,14,January 20.pdf,Repositioning (reviewing options and administrative and back sides)
inspections,services,12,January 20.pdf,City inspections and repairs
staff,other,11,March 20.pdf,Office staff perceived as abandoning residents | Office staff will be teleworking until further notice | Keisha (staff) created a share drive | Property cameras have been updated to allow staff to watch the cameras via remote 24 hours a day
rfp,services,10,May 20.pdf,- RFP
garden,other,7,January 20.pdf,"discussed the water issue in the garden area | discussed replacement of faucets, handicap handles, garden (catch rain water)"
hvac,hvac,7,November 20.pdf,"employee designations, rental of office space, rental revenue, maintenance and operational materials, contract costs, back up information for insurance rates, water treatment (cooling tower), Covid expenses, employee benefits, HVAC and plumbing upgrades."
hvac system,big_equipment,7,November 20.pdf,"employee designations, rental of office space, rental revenue, maintenance and operational materials, contract costs, back up information for insurance rates, water treatment (cooling tower), Covid expenses, employee benefits, HVAC and plumbing upgrades."
maintenance,services,7,February 20.pdf,- Maintenance: There has been a maintenance technician employee that was acquired from Glenarden Housing Authority.
training expenses,services,7,April 21.pdf,Training: The Board discussed leadership training for all commissioners.
tree,other,7,January 22.pdf,"Residents assisted with holiday celebrations, tree decorating ceremony and a celebration party"
trees,other,7,January 22.pdf,"Residents assisted with holiday celebrations, tree decorating ceremony and a celebration party"
water,services,7,January 20.pdf,"discussed the water issue in the garden area | discussed replacement of faucets, handicap handles, garden (catch rain water)"
bait,services,6,March 20.pdf,Concerns about ants and pest control
capital fund,other,6,October 22.pdf,"Received $237,509.00 for 2022 Capital fund"
fire system,services,6,March 22.pdf,Fire extinguisher inspection
parking lot,other,6,February 20.pdf,- Services: Parking lot plan approved by P.G.
position,other,6,July 20.pdf,"Budget items: Cameras will be installed (in front of building, laundry room, and blind spots), physical needs assessment projects, accountant putting together salaries, additional positions, repairs of first floor, repairs denied by insurance company because of delayed submission of claims, and Board suggestions of further budget items."
repairs,other,6,January 20.pdf,City inspections and repairs
bus,services,5,March 20.pdf,Bus schedules to grocery store available
cdbg grant,other,5,July 22.pdf,- Update CDBG: The Board reviewed/discussed the CDBG grant.
laundry,appliances,5,January 20.pdf,discussed funds for laundry
pest control,services,5,March 20.pdf,Concerns about ants and pest control
pest treatment,services,5,March 20.pdf,Concerns about ants and pest control
plumbing,plumbing_fixtures,5,November 20.pdf,"employee designations, rental of office space, rental revenue, maintenance and operational materials, contract costs, back up information for insurance rates, water treatment (cooling tower), Covid expenses, employee benefits, HVAC and plumbing upgrades."
plumbing fixtues,plumbing_fixtures,5,November 20.pdf,"employee designations, rental of office space, rental revenue, maintenance and operational materials, contract costs, back up information for insurance rates, water treatment (cooling tower), Covid expenses, employee benefits, HVAC and plumbing upgrades."
wildlife control,services,5,March 20.pdf,Concerns about ants and pest control
arts and crafts,other,4,July 22.pdf,"- Gave a presentation of events and resident activities (covid vaccine clinic, national freeze pop day, meals on wheels, resident walks, arts and crafts, and bingo)"
boiler,hvac,4,July 22.pdf,"- Property Updates: Storm damage, several trees came down, tree fell down on the HVAC unit (outside boiler), and the insurance deductible was 1% of $15M."
boiler system,hvac,4,July 22.pdf,"- Property Updates: Storm damage, several trees came down, tree fell down on the HVAC unit (outside boiler), and the insurance deductible was 1% of $15M."
booster/flu shots,other,4,September 20.pdf,Flu shots
call center,services,4,May 20.pdf,"- Call center | ec cleaning, staff and resident PPE, language translation service, call center, other) | call center"
cameras,electrical,4,March 20.pdf,Property cameras have been updated to allow staff to watch the cameras via remote 24 hours a day
capital food bank,other,4,January 22.pdf,42 residents received food from the Capital Food Bank
christmas,other,4,January 25.pdf,Resident council president Chauncey Taylor mentioned the Christmas and New Year festivities.
courtesy officer,services,4,July 20.pdf,Courtesy Officers: Two courtesy officers have been chosen to work at Attick Towers.
leases,services,4,May 20.pdf,- Leases
lobby,other,4,March 22.pdf,New furniture in the lobby
security officer,services,4,November 20.pdf,Security Officer: Lt. | Security Officer: hiring courtesy officer
air conditioner,hvac,3,July 22.pdf,"- Property Updates: Storm damage, several trees came down, tree fell down on the HVAC unit (outside boiler), and the insurance deductible was 1% of $15M."
cleaner,services,3,March 20.pdf,Cleaners doing a great job
cleaners,services,3,March 20.pdf,Cleaners doing a great job
cleaning,services,3,May 20.pdf,"ec cleaning, staff and resident PPE, language translation service, call center, other)"
door,doors_windows,3,July 21.pdf,Residents of Attick Towers liked the new Board meeting entrance door.
doors,doors_windows,3,July 21.pdf,Residents of Attick Towers liked the new Board meeting entrance door.
equipment,big_equipment,3,July 21.pdf,"- Grant funds to be utilized for salary of services coordinator, training, training travel expenses, administrative costs, and office equipment and space for coordinator, etc."
forms,services,3,February 20.pdf,"Simpson information, forms, and the pull down of $40K."
generator,big_equipment,3,October 24.pdf,"Applying for the CDBG grant PY51, (Cooling Tower replacement for $78,720.00, Generator replacement for $224,500.00, Boiler replacement for $155,842.00)"
hvac unit,big_equipment,3,July 22.pdf,"- Property Updates: Storm damage, several trees came down, tree fell down on the HVAC unit (outside boiler), and the insurance deductible was 1% of $15M."
leak,other,3,September 21.pdf,Leak in Community Room
piping,plumbing_fixtures,3,March 22.pdf,RSC piping contract for the 1° floor
police officers,other,3,May 20.pdf,"tepecre cla Tag plicants as a live-in special police officer, and a high end shift special officer, as | Johnson moving Teperekla Tag plicants as a live-in special police officer, and a high end shift special officer, as live in and high end shift"
smoking,services,3,March 23.pdf,"Evans discussed problems with residents smoking in the front of the building, and dog concerns."
trash,services,3,February 23.pdf,Trash chute proposal | status of bulk trash pick-up
vending machine,big_equipment,3,April 21.pdf,Vending Machines: The residents responded through the survey; they approve of the installation of a vending machine.
vending machines,big_equipment,3,April 21.pdf,Vending Machines: The residents responded through the survey; they approve of the installation of a vending machine.
website,services,3,May 20.pdf,- Website
accounts,services,2,February 20.pdf,"Issues: - The eLOCCS payment system, capital operation, working on bank account at SunTrust to switch over, paperwork, Mr. | Simpson no longer has access to any accounts."
alarm system,electrical,2,December 23.pdf,reported a fire alarm going off
article,other,2,January 25.pdf,Michelle Johnson was recognized in the Hear and Now article.
asbestos,other,2,May 22.pdf,"completion of an asbestos, molding, mechanical, engineering, and plumbing report"
asbestos report,other,2,May 22.pdf,"completion of an asbestos, molding, mechanical, engineering, and plumbing report"
bank account,services,2,February 20.pdf,"Issues: - The eLOCCS payment system, capital operation, working on bank account at SunTrust to switch over, paperwork, Mr."
bus trips,services,2,July 22.pdf,- Store bus trips and upcoming events
community room,other,2,September 21.pdf,Leak in Community Room
compost,other,2,March 22.pdf,Garden (compost delivery)
dryer,appliances,2,Oct 20.pdf,Laundry machines: Converting the laundry and dryer machines from coin to card acceptance
elevator replacement,big_equipment,2,March 23.pdf,PY49 grant: HACCP awarded $414K to be utilized for the elevator replacement
engineering report,other,2,May 22.pdf,"completion of an asbestos, molding, mechanical, engineering, and plumbing report"
faucet,plumbing_fixtures,2,January 20.pdf,"discussed replacement of faucets, handicap handles, garden (catch rain water)"
faucets,plumbing_fixtures,2,January 20.pdf,"discussed replacement of faucets, handicap handles, garden (catch rain water)"
faucets/sinks,plumbing_fixtures,2,January 20.pdf,"discussed replacement of faucets, handicap handles, garden (catch rain water)"
handicapped parking enforcement,services,2,January 20.pdf,Parking permits have expired and have been re submitted
new year,other,2,January 25.pdf,Carl Patterson wished everyone a Happy New Year and thanked the staff of Attick Towers for their work. | Resident council president Chauncey Taylor mentioned the Christmas and New Year festivities.
parking permits,services,2,January 20.pdf,Parking permits have expired and have been re submitted
pipe,plumbing_fixtures,2,September 21.pdf,Update Dual Pipe RFP
ppe,other,2,May 20.pdf,"ec cleaning, staff and resident PPE, language translation service, call center, other)"
renovation,services,2,December 22.pdf,"Evans discussed the pest control company, renovation of units, and a walk through of the renovated units"
roof,services,2,January 24.pdf,Roof leak repair completed
sink,plumbing_fixtures,2,January 20.pdf,"discussed replacement of faucets, handicap handles, garden (catch rain water)"
solar panels,small_equipment,2,May 23.pdf,The HACCP is looking to install solar panels at the property.
structure,service,2,May 21.pdf,"4) Communication Structure: Ms. | Johnson discussed the structure of communication between the Board, Executive Director and staff."
surveillance,services,2,Oct 20.pdf,Security grant: Applying for a HUD grant for surveillance and lighting
switch,electrical,2,February 20.pdf,"Issues: - The eLOCCS payment system, capital operation, working on bank account at SunTrust to switch over, paperwork, Mr."
trash dumpster,big_equipment,2,February 23.pdf,Trash chute proposal
tub,plumbing_fixtures,2,March 23.pdf,Norman discussed her bath tub needing to be replaced.
activity room,doors_windows,1,May 23.pdf,French doors installed in the lobby to allow easier access into the activity room by wheelchair.
administrative costs,services,1,July 21.pdf,"- Grant funds to be utilized for salary of services coordinator, training, training travel expenses, administrative costs, and office equipment and space for coordinator, etc."
american flag,other,1,April 21.pdf,Replacement of the American flag
ants,services,1,March 20.pdf,Concerns about ants and pest control
bed bugs,services,1,April 21.pdf,"Resident visually noted as having bugs on them, getting the resident help through the senior program, residents unit treated for bed bugs and scheduled for a second treatment, and resident received a violation letter for the condition of their unit."
building inspection,services,1,January 24.pdf,Building inspection on 12/18/23 (repairs needed)
bully boards,other,1,March 20.pdf,Posting of flyers and information on bulletin boards
camera system,electrical,1,March 25.pdf,"Chauncey Taylor: discussed the update of the camera system, vending machines, generating income for | Emergency and safety grants for security, camera system, and gates."
capital operation,big_equipment,1,February 20.pdf,"Issues: - The eLOCCS payment system, capital operation, working on bank account at SunTrust to switch over, paperwork, Mr."
cargo elevator,big_equipment,1,September 25.pdf,Cargo elevator floor has been laid.
chiller,big_equipment,1,May 22.pdf,problems with the chiller were repaired on Saturday
cleaning workshop,services,1,November 24.pdf,Hosting mandatory house cleaning workshop
code enforcement,services,1,February 20.pdf,"County, Storm drain management, Proposal for parking permits, Code enforcement inspection, Re inspection of emergency items"
commissioner training,services,1,May 23.pdf,"Commissioner training: Ms. | Added items to the agenda: Commissioner training, bylaws, CBDG grant, and repositioning plan"
condoms,other,1,March 25.pdf,"the resident council, and condoms left around the building."
curbside produce services,other,1,January 24.pdf,Curbside fresh produce mobile services shop
decorated holiday tree,other,1,December 22.pdf,"Events: Capital Food Bank, booster/Flu shots, decorated holiday tree, arts and crafts, and holiday dinner, overview of annual goals, 48% resident participation, and fiscal end report submitted on 10/24/22"
dog,other,1,March 23.pdf,"Evans discussed problems with residents smoking in the front of the building, and dog concerns."
drain,plumbing_fixtures,1,February 20.pdf,"County, Storm drain management, Proposal for parking permits, Code enforcement inspection, Re inspection of emergency items"
egress updates,doors_windows,1,April 25.pdf,Egress updates
electrical,hvac,1,July 22.pdf,"- Repositioning: Tested for asbestos, mold, and performed an evaluation on the electrical, plumbing, and structure of the building."
elevator doors,electrical,1,September 25.pdf,Painting of elevator doors
elevator handle/ handicap handle,accessibility_safety_features,1,January 20.pdf,"discussed replacement of faucets, handicap handles, garden (catch rain water)"
emergency items,other,1,February 20.pdf,"County, Storm drain management, Proposal for parking permits, Code enforcement inspection, Re inspection of emergency items"
energy use,services,1,January 25.pdf,The proposal submitted by GEMM COMM for the opportunity to assist Attick Towers in optimizing their energy use and generate renewable power.
f & b laundry equipment,big_equipment,1,September 25.pdf,F & B laundry equipment.
fire damage,other,1,November 25.pdf,"A resident discussed fire damage to the building, and roofing repairs."
fire extinguisher,small_equipment,1,March 22.pdf,Fire extinguisher inspection
floor captains,other,1,September 25.pdf,Reinstated floor captains.
french doors,doors_windows,1,May 23.pdf,French doors installed in the lobby to allow easier access into the activity room by wheelchair.
furniture,small_equipment,1,March 22.pdf,New furniture in the lobby
gates,doors_windows,1,March 25.pdf,"Emergency and safety grants for security, camera system, and gates."
geo tech review,other,1,July 21.pdf,"- Suggested to reach the goal by doing a Geo Tech review, Structural engineer review, and Soil boring study"
hand railing,accessibility_safety_features,1,September 25.pdf,Bay discussed visitors and hand railing.
handicap handle,accessibility_safety_features,1,January 20.pdf,"discussed replacement of faucets, handicap handles, garden (catch rain water)"
handicap handles,accessibility_safety_features,1,January 20.pdf,"discussed replacement of faucets, handicap handles, garden (catch rain water)"
holiday dinner,other,1,December 22.pdf,"Events: Capital Food Bank, booster/Flu shots, decorated holiday tree, arts and crafts, and holiday dinner, overview of annual goals, 48% resident participation, and fiscal end report submitted on 10/24/22"
hot water,hvac,1,July 21.pdf,- Reviewed water bills at Attick Towers for errors (none were discovered) | - Goal to bring water bill down 32%
landscape company,services,1,July 22.pdf,- Landscape company took care of fallen trees
language translation service,services,1,May 20.pdf,"ec cleaning, staff and resident PPE, language translation service, call center, other) | language translation service"
leader training,services,1,April 21.pdf,Training: The Board discussed leadership training for all commissioners.
light,electrical,1,June 21.pdf,Why are lights off in the front office
lighting,electrical,1,Oct 20.pdf,Security grant: Applying for a HUD grant for surveillance and lighting
maintenance technician,other,1,February 20.pdf,- Maintenance: There has been a maintenance technician employee that was acquired from Glenarden Housing Authority.
mechanical report,other,1,May 22.pdf,"completion of an asbestos, molding, mechanical, engineering, and plumbing report"
mold,other,1,July 22.pdf,"- Repositioning: Tested for asbestos, mold, and performed an evaluation on the electrical, plumbing, and structure of the building."
molding report,other,1,May 22.pdf,"completion of an asbestos, molding, mechanical, engineering, and plumbing report"
new board meeting entrance door,doors_windows,1,July 21.pdf,Residents of Attick Towers liked the new Board meeting entrance door.
office equipment,small_equipment,1,July 21.pdf,"- Grant funds to be utilized for salary of services coordinator, training, training travel expenses, administrative costs, and office equipment and space for coordinator, etc."
parking stickers,services,1,February 23.pdf,Parking concerns (parking stickers and enforcement)
pest control company,services,1,December 22.pdf,"Evans discussed the pest control company, renovation of units, and a walk through of the renovated units"
phone service,services,1,May 22.pdf,an issue with the phone service which will continue until further notice
physical needs assessment projects,services,1,July 20.pdf,"Budget items: Cameras will be installed (in front of building, laundry room, and blind spots), physical needs assessment projects, accountant putting together salaries, additional positions, repairs of first floor, repairs denied by insurance company because of delayed submission of claims, and Board suggestions of further budget items."
pool table,small_equipment,1,February 23.pdf,update on pool table purchase
property assessment,services,1,February 26.pdf,Repositioning: Received the property assessment
property cameras,electrical,1,March 20.pdf,Property cameras have been updated to allow staff to watch the cameras via remote 24 hours a day
reinspection,services,1,January 24.pdf,Reinspection scheduled for February
renewable power,services,1,January 25.pdf,The proposal submitted by GEMM COMM for the opportunity to assist Attick Towers in optimizing their energy use and generate renewable power.
repairs of first floor,services,1,July 20.pdf,"Budget items: Cameras will be installed (in front of building, laundry room, and blind spots), physical needs assessment projects, accountant putting together salaries, additional positions, repairs of first floor, repairs denied by insurance company because of delayed submission of claims, and Board suggestions of further budget items."
repositioning plan,services,1,May 23.pdf,"Repositioning plan: HUD representative was Ms. | Added items to the agenda: Commissioner training, bylaws, CBDG grant, and repositioning plan"
residence,services,1,April 25.pdf,Kilpatrick discussed the water in her residence takes a long time to get hot.
roach,services,1,November 24.pdf,roach infestation
roof leak repair,services,1,January 24.pdf,Roof leak repair completed
salary of services coordinator,services,1,July 21.pdf,"- Grant funds to be utilized for salary of services coordinator, training, training travel expenses, administrative costs, and office equipment and space for coordinator, etc."
security service,services,1,April 21.pdf,New security service company started on Attick Towers
sewer,services,1,February 22.pdf,Email concerning the WSSC beginning a major sewer project in north College Park called the Northeast Branch Basin Sanitary-Sewer System Rehabilitation
shower,plumbing_fixtures,1,July 21.pdf,"- Replace toilets, shower heads, and rebuild faucets"
shower heads,plumbing_fixtures,1,July 21.pdf,"- Replace toilets, shower heads, and rebuild faucets"
soil boring study,other,1,July 21.pdf,"- Suggested to reach the goal by doing a Geo Tech review, Structural engineer review, and Soil boring study"
sprinkler system,plumbing_fixtures,1,January 24.pdf,"Passed the fire, security, and sprinkler alarm inspections"
store trips,other,1,October 22.pdf,Issues with store trips and other activities at Attick Towers
storm drain,other,1,February 20.pdf,"County, Storm drain management, Proposal for parking permits, Code enforcement inspection, Re inspection of emergency items"
structural engineer review,other,1,July 21.pdf,"- Suggested to reach the goal by doing a Geo Tech review, Structural engineer review, and Soil boring study"
toilet,plumbing_fixtures,1,July 21.pdf,"- Replace toilets, shower heads, and rebuild faucets"
toilets,plumbing_fixtures,1,July 21.pdf,"- Replace toilets, shower heads, and rebuild faucets"
towing services,services,1,March 23.pdf,"Perez discussed the live in courtesy officer, weekend security officer, and the towing services."
trash chute,small_equipment,1,February 23.pdf,Trash chute proposal
washer,big_equipment,1,October 25.pdf,"approve the payment of invoices for TK Elevators, Insurance, Contract Administrator, Kelly Benefits, New washer and dryers, Contract Administrator, and Office Supplies"
water bills,services,1,July 21.pdf,- Reviewed water bills at Attick Towers for errors (none were discovered) | - Goal to bring water bill down 32%
water treatment,services,1,November 20.pdf,"employee designations, rental of office space, rental revenue, maintenance and operational materials, contract costs, back up information for insurance rates, water treatment (cooling tower), Covid expenses, employee benefits, HVAC and plumbing upgrades."
wifi internet,services,1,April 21.pdf,Comcast: Concerning the follow up of WIFI internet services.
