category,name,canonical,count,first_mentioned_filename,first_mentioned_date,example_snippet
Accessibility and safety features,Fire Extinguisher,fire extinguisher,3,April 2024.pdf,"April 25, 2024",fire extinguisher inspection was mentioned
Accessibility and safety features,Ramp,ramp,2,December 2023.pdf,"December 14, 2023",planned repairing of the ramp out front
Accessibility and safety features,Security System,security system,2,April 2020.pdf,"April 23, 2020","Teleplus Security invoice of $3,064.55 was approved unanimously by a vote of 4-0"
Accessibility and safety features,Alarms,alarms,1,Jun 2022.pdf,"June 23, 2022",alarms reinstalled in the dining room and lobby
Accessibility and safety features,Egress,egress,1,April 2025.pdf,"April 24, 2025",egress updates were discussed as part of annual inspection updates
Accessibility and safety features,Emergency Pull Cords,emergency pull cords,1,September 2023.pdf,"September 28, 2023",installation and activation of emergency pull cords in units was completed and thanked by Carl Patterson
Accessibility and safety features,Fire Alarm,fire alarm,1,January 2024.pdf,"January 25, 2024",passed fire alarm inspection
Accessibility and safety features,Fire Alarm System,fire alarm system,1,March 2025.pdf,"March 27, 2025",resident requested announcements when fire alarm at Attick Towers goes off and is cleared
Accessibility and safety features,Fire Protection System,fire protection system,1,January 2022.pdf,"January 27, 2022","approved payment to Cintas Fire Protection for $2,932.77"
Accessibility and safety features,Fire Suppression System,fire suppression system,1,July 2025.pdf,"July 24, 2025",City of College Park grant/ARPA grant discussed for replacing the fire suppression system
Accessibility and safety features,Fire System,fire system,1,May 2025.pdf,"May 22, 2025",bond bill referenced for the fire system
Accessibility and safety features,Foot Pedal Knobs,foot pedal knobs,1,February 2020.pdf,"February 27, 2020",proposed installation of handicap accessible foot pedal knobs
Accessibility and safety features,Gates,gates,1,March 2025.pdf,"March 27, 2025",emergency and safety grants mentioned for gates as part of security improvements
Accessibility and safety features,Hand Railing,hand railing,1,September 2025.pdf,"September 25, 2025",Ms. Bay discussed visitors and hand railing
Accessibility and safety features,Handicap Handles,handicap handles,1,January 2020.pdf,"January 23, 2020",resident discussed replacement of handicap handles
Accessibility and safety features,Locks,locks,1,January 2022.pdf,"January 27, 2022","approved payment to Ernie's Lock for $2,312.40"
Accessibility and safety features,Security Alarm,security alarm,1,January 2024.pdf,"January 25, 2024",passed security alarm inspection
Accessibility and safety features,Social Distance Markings,social distance markings,1,September 2020.pdf,"September 24, 2020",resident requested social distance markings be put in the park area
Accessibility and safety features,Speed Bumps,speed bumps,1,September 2022.pdf,"September 22, 2022",speed bumps painting has been completed
Accessibility and safety features,Sprinkler System,sprinkler system,1,January 2024.pdf,"January 25, 2024",passed sprinkler alarm inspection
Accessibility and safety features,Stairways,stairways,1,December 2025.pdf,"December 18, 2025",homeless individuals being allowed to sleep on stairways
Appliances,Dryer,dryer,3,June 2025.pdf,"June 26, 2025",one dryer is not working in the laundry room
Appliances,Laundry Equipment,laundry equipment,2,March 2026.pdf,"March 26, 2026","F & B laundry equipment referenced, invoice approved for $6,804.00"
Appliances,Laundry Machines,laundry machines,2,January 2020.pdf,"January 23, 2020","resident discussed funds for laundry; written agreement concerning shared laundry fees with $3,454.54 deposited into Resident Council account"
Appliances,Washer,washer,2,June 2025.pdf,"June 26, 2025",new washer being purchased for Attick Towers
Appliances,Laundry Facility,laundry facility,1,May 2022.pdf,"May 25, 2022",resident discussed laundry facility having problems every month and inquired about maintenance
Appliances,Laundry Room,laundry room,1,July 2020.pdf,"July 23, 2020",cameras to be installed in laundry room as part of security upgrade
Appliances,Outdoor Grills,outdoor grills,1,Jun 2022.pdf,"June 23, 2022","two new outdoor grills needed at Attick Towers, approved spending up to $2,000 from resident fund"
Appliances,Washer And Dryers,washer and dryers,1,October 2025.pdf,"October 23, 2025","new washer and dryers referenced in invoice approvals, approved payment for $6,804.00"
Appliances,Washing Machines,washing machines,1,Oct 2020.pdf,"October 22, 2020",multiple washing machines are not working in the laundry room
Big Equipment,Elevator,elevator,34,April 2020.pdf,"April 23, 2020","elevator maintenance invoice of $4,225.25 was approved unanimously by a vote of 4-0"
Big Equipment,Generator,generator,6,April 2024.pdf,"April 25, 2024",passed generator inspection
Big Equipment,Cargo Elevator Floor,cargo elevator floor,1,September 2025.pdf,"September 25, 2025",cargo elevator floor has been laid
Big Equipment,Elevator Doors,elevator doors,1,September 2025.pdf,"September 25, 2025",painting of elevator doors discussed
Big Equipment,Mechanical Systems,mechanical systems,1,May 2022.pdf,"May 25, 2022",mechanical and engineering report will be completed to assist with receiving the obsolescence certification
Big Equipment,Trash Compactor,trash compactor,1,March 2023.pdf,"March 23, 2023",Dumpster/trash compactor discussed
Electrical,Cameras,cameras,2,July 2020.pdf,"July 23, 2020","cameras will be installed in front of building, laundry room, and blind spots"
Electrical,Lighting,lighting,2,January 2020.pdf,"January 23, 2020",installation of lighting requiring city approvals and a construction bond of $8k-$10k
Electrical,Alarm,alarm,1,December 2023.pdf,"December 14, 2023",alarm was reported going off by a resident; alarm inspection conducted
Electrical,Electrical System,electrical system,1,July 2022.pdf,"July 28, 2022",evaluation performed on the electrical system of the building
Electrical,Lights,lights,1,June 2021.pdf,"June 24, 2021",lights are off in the front office
Electrical,Property Cameras,property cameras,1,March 2020.pdf,"March 30, 2020",cameras have been updated to allow staff to watch via remote 24 hours a day
Electrical,Security Cameras,security cameras,1,March 2025.pdf,"March 27, 2025",emergency and safety grants mentioned for camera system installation or upgrades
Electrical,Security Cameras (Exterior),security cameras (exterior),1,July 2022.pdf,"July 28, 2022",costs solicited for cameras to be installed out front of the building
Electrical,Security Cameras (Lobby),security cameras (lobby),1,July 2022.pdf,"July 28, 2022",cameras scheduled to be installed in the lobby
Electrical,Solar Panels,solar panels,1,February 2026.pdf,"February 26, 2026","motion approved to install solar panels on both the side and top of the building, voted 4-0"
Electrical,Surveillance System,surveillance system,1,Oct 2020.pdf,"October 22, 2020",applying for a HUD grant to fund surveillance installation
HVAC,Hvac System,hvac system,6,April 2024.pdf,"April 25, 2024",HVAC upgrades discussed as part of budget
HVAC,Boiler,boiler,5,January 2024.pdf,"January 25, 2024",applying for emergency grant from HUD for boiler installation
HVAC,Cooling Tower,cooling tower,2,November 2020.pdf,"November 19, 2020",water treatment for cooling tower included in budget discussion
HVAC,Hvac Units,hvac units,2,February 2024.pdf,"February 22, 2024","Replace all HVAC units at Attick Towers, construction expected to begin first week in March"
HVAC,Ac,ac,1,June 2024.pdf,"June 27, 2024",AC work completed
HVAC,Boiler System,boiler system,1,May 2025.pdf,"May 22, 2025",grants of $50K and $1K referenced for the boiler system
HVAC,Chiller,chiller,1,May 2022.pdf,"May 25, 2022",problems with the chiller were repaired on Saturday
HVAC,Hvac Chiller,hvac chiller,1,June 2024.pdf,"June 27, 2024",chiller outage reported
HVAC,Hvac Unit / Boiler,hvac unit / boiler,1,July 2022.pdf,"July 28, 2022",outside boiler was damaged by a fallen tree due to storm damage; covered under insurance with 1% deductible of $15M
HVAC,Sprinkler,sprinkler,1,December 2023.pdf,"December 14, 2023",sprinkler inspection conducted
Other,Parking Lot,parking lot,4,Jun 2022.pdf,"June 23, 2022","RFP for the parking lot extended for 30 days, to expire on June 30, 2021"
Other,Trees,trees,4,July 2022.pdf,"July 28, 2022",tree company will be performing work on several trees at Attick Towers
Other,Roof,roof,3,February 2024.pdf,"February 22, 2024",roof leak repair was completed
Other,Asbestos,asbestos,2,July 2022.pdf,"July 28, 2022",asbestos report will be completed to assist with receiving the obsolescence certification
Other,Drywall,drywall,2,April 2024.pdf,"April 25, 2024",drywall needs to be completed following HVAC installation
Other,Dumpster,dumpster,2,March 2023.pdf,"March 23, 2023",Dumpster/trash compactor discussed
Other,Mold,mold,2,July 2022.pdf,"July 28, 2022",molding report will be completed to assist with receiving the obsolescence certification
Other,Parking,parking,2,February 2023.pdf,"February 23, 2023",parking concerns discussed including parking stickers and enforcement
Other,Roach Infestation,roach infestation,2,February 2020.pdf,"February 27, 2020",focusing on roach infestations in code enforcement units
Other,Vacant Units,vacant units,2,February 2024.pdf,"February 22, 2024",20 vacant units being restored; 11 applicants approved from social services; goal to complete all units by end of November
Other,American Flag,american flag,1,April 2021.pdf,"April 22, 2021",replacement of the American flag mentioned
Other,Bedbug Infestation,bedbug infestation,1,July 2021.pdf,"July 22, 2021","bedbug infestation affecting a resident and spreading to other units, noted as a concern"
Other,Bedbugs,bedbugs,1,February 2020.pdf,"February 27, 2020",one unit with bedbugs was treated successfully
Other,Building,building,1,March 2022.pdf,"March 24, 2022","proposed tearing down and rebuilding of an additional building, with resident relocation discussed"
Other,Building Structure,building structure,1,July 2022.pdf,"July 28, 2022",structural evaluation performed on the building
Other,Bulletin Board,bulletin board,1,March 2020.pdf,"March 30, 2020",installing a bulletin board with an encasement and lock
Other,Capital Improvements,capital improvements,1,November 2020.pdf,"November 19, 2020",capital improvements and replacements included in budget discussion
Other,Carpet,carpet,1,July 2021.pdf,"July 22, 2021","carpet damaged due to sewage leak, covered under insurance claim currently being evaluated"
Other,Chute Room,chute room,1,May 2025.pdf,"May 22, 2025",chute room referenced in relation to vapor deodorizing system installation
Other,Community Room Leak,community room leak,1,September 2021.pdf,"September 23, 2021",leak in community room; insurance claim has been paid and repairs are scheduled to be completed
Other,Construction Permit,construction permit,1,July 2020.pdf,"July 23, 2020",motion approved to renew the construction permit
Other,Covid Sign,covid sign,1,November 2023.pdf,"November 16, 2023",severe covid sign was missing on the 5th floor
Other,Dining Room,dining room,1,September 2021.pdf,"September 23, 2021","BELFOR Property Restoration submitted invoice for $12,146.00 for dining room repairs"
Other,Dining Room / Community Room,dining room / community room,1,Jun 2022.pdf,"June 23, 2022","almost completed, minor things left to be finished"
Other,Emergency Items,emergency items,1,February 2020.pdf,"February 27, 2020",re-inspection of emergency items mentioned
Other,Emergency Units,emergency units,1,January 2020.pdf,"January 23, 2020",re-inspection of emergency units was discussed following city inspections
Other,Fence,fence,1,September 2022.pdf,"September 22, 2022",fence line work was mentioned
Other,First Floor,first floor,1,July 2020.pdf,"July 23, 2020","repairs of first floor noted as budget item, denied by insurance company due to delayed submission of claims"
Other,First Floor Construction,first floor construction,1,May 2022.pdf,"May 25, 2022",construction on the first floor is 95% completed
Other,Food Delivery Boxes,food delivery boxes,1,March 2026.pdf,"March 26, 2026",improper disposal of food delivery boxes raised as a concern
Other,Garden,garden,1,March 2024.pdf,"March 28, 2024",resident Elizabeth Norman discussed need for assistance with the garden
Other,Lobby,lobby,1,February 2023.pdf,"February 23, 2023",continued work on the lobby was mentioned
Other,Lobby Furniture,lobby furniture,1,March 2022.pdf,"March 24, 2022",new furniture planned for the lobby
Other,Mailboxes,mailboxes,1,November 2024.pdf,"November 21, 2024",mailboxes discussed for residents at Attick Towers
Other,Maintenance And Operational Materials,maintenance and operational materials,1,November 2020.pdf,"November 19, 2020",maintenance and operational materials included in budget discussion
Other,Maintenance Work Orders,maintenance work orders,1,January 2020.pdf,"January 23, 2020",maintenance work orders were discussed; city inspections identified a lot of needed repairs
Other,Marijuana Smell,marijuana smell,1,March 2026.pdf,"March 26, 2026",marijuana smell reported as a resident concern
Other,Parking Area,parking area,1,January 2020.pdf,"January 23, 2020",parking permits have expired and have been resubmitted
Other,Pest Infestation,pest infestation,1,September 2021.pdf,"September 23, 2021",resident reported pest infestation in her unit; surrounding units above and next to hers to be baited and treated
Other,Picnic Tables,picnic tables,1,May 2024.pdf,"May 23, 2024",Mr. Taylor inquired about the status of the picnic tables
Other,Posts,posts,1,October 2022.pdf,"October 27, 2022",posts will be installed outside the window area of the community room following car accident damage
Other,Residential Unit,residential unit,1,April 2021.pdf,"April 22, 2021",resident unit treated for bed bugs and scheduled for a second treatment; resident received a violation letter for the condition of their unit
Other,Smoke/Fire Damage,smoke/fire damage,1,November 2025.pdf,"November 20, 2025","smoke from a resident unit due to a burned pot, Fire Department was called"
Other,Stacks,stacks,1,September 2024.pdf,"September 26, 2024",Vigal Contractors working on the stacks
Other,Structural Integrity,structural integrity,1,July 2021.pdf,"July 22, 2021","Geo Tech review, Structural engineer review, and Soil boring study approved to be performed by Field & Tung Structural Engineers at $9,800 to improve obsolescence score to 75%"
Other,Trash Chute,trash chute,1,February 2023.pdf,"February 23, 2023",trash chute proposal was discussed
Other,Trash Disposal,trash disposal,1,January 2025.pdf,"January 23, 2025",letter sent to residents on proper trash disposal procedures
Other,Trees/Landscaping,trees/landscaping,1,September 2022.pdf,"September 22, 2022","payment of $16,500.00 approved to Greentech Landscaping for removal of fallen trees during a storm"
Other,Unauthorized Pets,unauthorized pets,1,March 2026.pdf,"March 26, 2026",unauthorized pets reported as a community concern
Other,Unit Renovation,unit renovation,1,December 2022.pdf,"December 15, 2022",Ms. Evans discussed renovation of units and conducted a walk through of the renovated units
Other,"Units 101, 102, 103","units 101, 102, 103",1,September 2020.pdf,"September 24, 2020","three units taken offline due to water damage, approved for modernization until December 22, 2020"
Other,Vapor Deodorizing System,vapor deodorizing system,1,May 2025.pdf,"May 22, 2025","vapor system for deodorizing of the chute room, ordered through Chute International"
Other,Wall,wall,1,October 2022.pdf,"October 27, 2022","car accident caused extensive damage to the community room wall, insurance claim has been approved"
Other,Wildlife,wildlife,1,March 2026.pdf,"March 26, 2026","wildlife in community reported as resident concern, mentioned twice"
Plumbing,Plumbing,plumbing,4,February 2020.pdf,"February 27, 2020",three units with extensive plumbing issues received a bid; RFP to be sent out and HUD requested to approve taking units offline until completely repaired
Plumbing,Piping,piping,2,July 2022.pdf,"July 28, 2022",RSC piping contract for the 1st floor was discussed
Plumbing,Plumbing System,plumbing system,2,July 2022.pdf,"July 28, 2022",plumbing report will be completed to assist with receiving the obsolescence certification
Plumbing,Risers,risers,2,July 2021.pdf,"July 22, 2021","invoice approved for payment to Nick DiBattista for $2,514.00 for riser work"
Plumbing,Bath Tub,bath tub,1,March 2023.pdf,"March 23, 2023",Ms. Norman discussed her bath tub needing to be replaced
Plumbing,Dual Pipe System,dual pipe system,1,September 2021.pdf,"September 23, 2021","RFP issued June 1 - August 10, 2021; RSC Electrical Contractors submitted proposal for $134,860 which was accepted and awarded"
Plumbing,Faucet,faucet,1,January 2020.pdf,"January 23, 2020",resident discussed replacement of faucets
Plumbing,Faucets,faucets,1,July 2021.pdf,"July 22, 2021",planned rebuild of faucets in 25 to 30 resident units per day as part of water reduction initiative
Plumbing,Garden Water System,garden water system,1,January 2020.pdf,"January 23, 2020",resident discussed water issue in the garden area
Plumbing,Gas Valve,gas valve,1,December 2023.pdf,"December 14, 2023",major repair completed on gas valve
Plumbing,Pipe Machine,pipe machine,1,February 2022.pdf,"February 24, 2022","invoice approved for purchase of a pipe machine from Ferguson Enterprises for $4,458.63 to be used by maintenance staff"
Plumbing,Rain Water Catchment,rain water catchment,1,January 2020.pdf,"January 23, 2020",resident discussed garden catchment system to save rain water
Plumbing,Riser Pipes,riser pipes,1,May 2024.pdf,"May 23, 2024","replacement of riser pipes over top of the new HVAC units, change order approved at a cost of $159,072.00 by a vote of 4-0"
Plumbing,Sewage System,sewage system,1,July 2021.pdf,"July 22, 2021","sewage leak caused damage to furniture, property, and carpet; insurance claim currently being evaluated"
Plumbing,Shower Heads,shower heads,1,July 2021.pdf,"July 22, 2021",planned replacement as part of shared savings program to reduce water usage
Plumbing,Storm Drain,storm drain,1,February 2020.pdf,"February 27, 2020",storm drain management discussed
Plumbing,Toilets,toilets,1,July 2021.pdf,"July 22, 2021","current toilets are inefficient using 3-6 gallons per flush, planned for replacement as part of shared savings program to reduce water bill by 32%"
Plumbing,Tub,tub,1,May 2023.pdf,"May 25, 2023",a resident was recommended to use a specific type of cleaner on her tub
Plumbing,Wastewater System,wastewater system,1,January 2022.pdf,"January 27, 2022",Covid testing of waste water ended in December with no noted positive tests reported
Plumbing,Water Damage,water damage,1,September 2020.pdf,"September 24, 2020","water damage reported in units 101, 102, and 103, emergency fund for repairs submitted"
Plumbing,Water Heater / Hot Water Supply,water heater / hot water supply,1,April 2025.pdf,"April 24, 2025",resident Ms. Kilpatrick reported that water in her residence takes a long time to get hot
Plumbing,Water Pipe,water pipe,1,December 2023.pdf,"December 14, 2023",major repair completed on water pipe
Services,Pest Control,pest control,4,December 2022.pdf,"December 15, 2022",pest exterminations should continue; pest control company comes out every Thursday to perform exterminations
Services,Building Cleanliness,building cleanliness,1,September 2025.pdf,"September 25, 2025",building cleanliness has improved following maintenance efforts
Services,Bulk Trash Pickup,bulk trash pickup,1,December 2022.pdf,"December 15, 2022",requested City pickup for bulk trash; increased costs noted on City website; alternative bulk trash options discussed
Services,Call System,call system,1,March 2020.pdf,"March 30, 2020",working on a call system with Gilson Property
Services,Radon Testing,radon testing,1,May 2024.pdf,"May 23, 2024",radon testing and inspections discussed by Property Manager Amanda Goode
Services,Snow Removal,snow removal,1,January 2022.pdf,"January 27, 2022",snow removal services previously provided by city for 10 years were not provided this year; city agreed to provide through limited period only; Greentech landscape contractor to also utilize snow removal services
Services,Utilities,utilities,1,September 2022.pdf,"September 22, 2022",Ms. Norman inquired about residents being responsible for paying utilities in the future
Services,Waste Removal,waste removal,1,September 2020.pdf,"September 24, 2020","Waste Removal Republic Services invoice for $2,540.37 approved for payment"
Services,Wildlife/Pest Control,wildlife/pest control,1,September 2025.pdf,"September 25, 2025",wild life control for raccoons being addressed
Wall Openings,Dining Room Window,dining room window,1,September 2022.pdf,"September 22, 2022",issue discussed regarding dining room window at Attick Towers
Wall Openings,Entrance Door,entrance door,1,July 2021.pdf,"July 22, 2021",residents of Attick Towers liked the new Board meeting entrance door
Wall Openings,French Doors,french doors,1,May 2023.pdf,"May 25, 2023",french doors installed in the lobby to allow easier access into the activity room by wheelchair
Wall Openings,Window,window,1,October 2022.pdf,"October 27, 2022",posts to be installed outside the window area as part of community room repair
